rank	word	normalized_word	count	subjects	files	first_seen	preview_path	audio_path	meaning	basic_form	accent	synonyms
1394	instructed	instructed	1	SantaAI	SantaAI/単語集/5月/知らない単語集0528.md	SantaAI/単語集/5月/知らない単語集0528.md	SantaAI/単語集/5月/知らない単語集0528.md		指示した；教えた	instruct	ĭn-STRŬK-tĭd	directed, guided, told
1395	instructions	instructions	1	SantaAI	SantaAI/単語集/5月/知らない単語集0517.md	SantaAI/単語集/5月/知らない単語集0517.md	SantaAI/単語集/5月/知らない単語集0517.md		指示、説明	instruction	ĭn-STRŬK-shənz	directions, guidelines, orders
1396	insulating	insulating	1	SantaAI	SantaAI/単語集/5月/知らない単語集0525.md	SantaAI/単語集/5月/知らない単語集0525.md	SantaAI/単語集/5月/知らない単語集0525.md		断熱する；絶縁する	insulate	ĬN-sə-lā-tĭng	shielding, isolating, protecting
1397	insulation materials	insulation materials	1	SantaAI	SantaAI/単語集/5月/知らない単語集0523.md	SantaAI/単語集/5月/知らない単語集0523.md	SantaAI/単語集/5月/知らない単語集0523.md		断熱材		ĭn-sə-LĀ-shən mə-TIR-ē-əlz	insulating materials, thermal materials, insulation products
1398	insulin to biofuels	insulin to biofuels	1	Biology	Biology/43words.md	Biology/43words.md	Biology/43words_pronunciation/index.html		インスリンからバイオ燃料まで		ĬN-sə-lən tə BĪ-ō-fyōō-əlz	from insulin to bioenergy, from medicine to fuel biotech, across biotech products
1399	insurance	insurance	1	SantaAI	SantaAI/単語集/6月/知らない単語集0609.md	SantaAI/単語集/6月/知らない単語集0609.md	SantaAI/単語集/6月/知らない単語集0609.md		保険		ĭn-SHŪR-əns	coverage, assurance, indemnity
1400	intact	intact	1	Archaeology	Archaeology/04/04words.md	Archaeology/04/04words.md	Archaeology/04/04words_pronunciation/index.html		損なわれていない、そのままの、無傷の		ĭn-TĂKT	undamaged, whole, unharmed
1401	integrity	integrity	1	SantaAI	SantaAI/単語集/5月/知らない単語集0527.md	SantaAI/単語集/5月/知らない単語集0527.md	SantaAI/単語集/5月/知らない単語集0527.md		完全性；健全性		ĭn-TEG-rə-tē	wholeness, soundness, stability
1402	intellectual	intellectual	1	Biology	Biology/39words.md	Biology/39words.md	Biology/39words_pronunciation/index.html		知的な；知識人の		ĭn-tə-LĔK-chōō-əl	cerebral, academic, scholarly
1403	intelligence	intelligence	1	ComputerScience	ComputerScience/44words.md	ComputerScience/44words.md	ComputerScience/44words_pronunciation/index.html		知能；知性		ĭn-TĔL-ə-jəns	intellect, cognition, smartness
1404	intends	intends	1	SantaAI	SantaAI/単語集/6月/知らない単語集0601.md	SantaAI/単語集/6月/知らない単語集0601.md	SantaAI/単語集/6月/知らない単語集0601.md		意図する；つもりである	intend	in-TEND	plans, aims, means
1405	intensive agriculture	intensive agriculture	1	Environmentology	Environmentology/13words.md	Environmentology/13words.md	Environmentology/13words_pronunciation/index.html		集約的農業		ĭn-TEN-sĭv AG-rĭ-ˌkəl-chər	high-input farming, intensive farming, industrial agriculture
1406	interest rates	interest rates	1	SantaAI	SantaAI/単語集/6月/知らない単語集0601.md	SantaAI/単語集/6月/知らない単語集0601.md	SantaAI/単語集/6月/知らない単語集0601.md		金利		IN-trəst RĀTS	borrowing costs, loan rates, bank rates
1407	interests	interests	1	AmericanHistory	AmericanHistory/09words.md	AmericanHistory/09words.md	AmericanHistory/09words_pronunciation/index.html		利益；利害関係	interest（名詞・単数）	ĬN-trəst	concerns, stakes, advantages
1408	intermediate	intermediate	1	EarthScience	EarthScience/45words.md	EarthScience/45words.md	EarthScience/45words_pronunciation/index.html		中間の		ĭn-tər-MĒ-dē-ĭt	middle, moderate, transitional
1409	interpret	interpret	1	SantaAI	SantaAI/単語集/5月/知らない単語集0528.md	SantaAI/単語集/5月/知らない単語集0528.md	SantaAI/単語集/5月/知らない単語集0528.md		解釈する		ĭn-TÛR-prət	explain, understand, read as
1410	interpretation	interpretation	1	BusinessAsministration&Economics	BusinessAsministration&Economics/11words.md	BusinessAsministration&Economics/11words.md	BusinessAsministration&Economics/11words_pronunciation/index.html		解釈；説明		in-tər-prə-TĀ-shən	explanation, reading, analysis
1411	interrupted	interrupted	1	Literature	Literature/25words.md	Literature/25words.md	Literature/25words_pronunciation/index.html		邪魔された；中断された	interrupt	ĭn-tə-RŬPT-ĭd	disrupted, halted, intruded upon
1412	intersection	intersection	1	Biology	Biology/43words.md	Biology/43words.md	Biology/43words_pronunciation/index.html		交差点；交わり		ĭn-tər-SĔK-shən	overlap, crossing, convergence
1413	intertwined	intertwined	1	ComputerScience	ComputerScience/44words.md	ComputerScience/44words.md	ComputerScience/44words_pronunciation/index.html		密接に結びついた	intertwine	ĭn-tər-TWĪND	interconnected, linked, entangled
1414	intimate	intimate	1	Biology	Biology/42words.md	Biology/42words.md	Biology/42words_pronunciation/index.html		親密な；密接な		ĬN-tə-mĭt	close, deep, closely connected
1415	intriguing	intriguing	1	SantaAI	SantaAI/単語集/5月/知らない単語集0524.md	SantaAI/単語集/5月/知らない単語集0524.md	SantaAI/単語集/5月/知らない単語集0524.md		興味をそそる；魅力的な	intrigue	ĭn-TRĒ-gĭng	fascinating, compelling, absorbing
1416	introduction	introduction	1	AmericanHistory	AmericanHistory/06words.md	AmericanHistory/06words.md	AmericanHistory/06words_pronunciation/index.html		導入、持ち込み；紹介、序論		ìn-trə-DŬK-shən	introduction, adoption, incorporation
1417	introduction of	introduction of	1	Journalism	Journalism/Newspapres.md	Journalism/Newspapres.md	Journalism/Newspapres.md		〜の導入、〜の採用			
1418	invention	invention	1	SantaAI	SantaAI/単語集/5月/知らない単語集0524.md	SantaAI/単語集/5月/知らない単語集0524.md	SantaAI/単語集/5月/知らない単語集0524.md		発明		ĭn-VEN-shən	creation, innovation, device
1419	inventory	inventory	1	SantaAI	SantaAI/単語集/6月/知らない単語集0611.md	SantaAI/単語集/6月/知らない単語集0611.md	SantaAI/単語集/6月/知らない単語集0611.md		在庫；目録		ĬNvən-tôrē	stock, supplies, listing
1420	investigates	investigates	1	Biology	Biology/43words.md	Biology/43words.md	Biology/43words_pronunciation/index.html		調査する；研究する	investigate	ĭn-VĔS-tə-gāts	examines, probes, studies
1421	investment	investment	1	BusinessAsministration&Economics	BusinessAsministration&Economics/11words.md	BusinessAsministration&Economics/11words.md	BusinessAsministration&Economics/11words_pronunciation/index.html		投資		in-VEST-mənt	funding, capital, stake
1422	invisible vapor	invisible vapor	1	EarthScience	EarthScience/47words.md	EarthScience/47words.md	EarthScience/47words_pronunciation/index.html		目に見えない水蒸気		ĭn-VĬZ-ə-bəl VĀ-pər	unseen moisture, water vapor, gaseous water
1423	invitation	invitation	1	SantaAI	SantaAI/単語集/5月/知らない単語集0530.md	SantaAI/単語集/5月/知らない単語集0530.md	SantaAI/単語集/5月/知らない単語集0530.md		招待；招待状		ĭn-vĭ-TĀ-shən	request, offer, summons
1424	invite	invite	1	SantaAI	SantaAI/単語集/5月/知らない単語集0523.md	SantaAI/単語集/5月/知らない単語集0523.md	SantaAI/単語集/5月/知らない単語集0523.md		招待する、誘う		ĭn-VĪT	ask, welcome, request
1425	invited	invited	1	SantaAI	SantaAI/単語集/5月/知らない単語集0515.md	SantaAI/単語集/5月/知らない単語集0515.md	SantaAI/単語集/5月/知らない単語集0515.md		招待した；招いた	invite	ĭn-VĪT	asked, welcomed, requested
1426	involved	involved	1	Archaeology	Archaeology/04/04words.md	Archaeology/04/04words.md	Archaeology/04/04words_pronunciation/index.html		関係している、含まれている；複雑な	involve	ĭn-VŎLVD	included, concerned, engaged
1427	involving	involving	1	SantaAI	SantaAI/単語集/5月/知らない単語集0524.md	SantaAI/単語集/5月/知らない単語集0524.md	SantaAI/単語集/5月/知らない単語集0524.md		含んでいる；伴う	involve	ĭn-VÄLV-ĭng	including, entailing, requiring
1428	iron	iron	1	SantaAI	SantaAI/単語集/5月/知らない単語集0530.md	SantaAI/単語集/5月/知らない単語集0530.md	SantaAI/単語集/5月/知らない単語集0530.md		鉄		Ī-ərn	metal, Fe, steel (related)
1429	irrelevant	irrelevant	1	SantaAI	SantaAI/単語集/5月/知らない単語集0524.md	SantaAI/単語集/5月/知らない単語集0524.md	SantaAI/単語集/5月/知らない単語集0524.md		無関係な；重要でない		ĭ-REL-ə-vənt	unrelated, inapplicable, immaterial
1430	is home to	is home to	1	SantaAI	SantaAI/単語集/6月/知らない単語集0617.md	SantaAI/単語集/6月/知らない単語集0617.md	SantaAI/単語集/6月/知らない単語集0617.md		～が生息している；～の本拠地である		ĭz hōm tū	hosts, contains, is inhabited by
1431	issues to	issues to	1	Journalism	Journalism/Newspapres.md	Journalism/Newspapres.md	Journalism/Newspapres.md		〜に発行する、〜に配布する			
1432	jet-lagged	jet-lagged	1	SantaAI	SantaAI/単語集/5月/知らない単語集0526.md	SantaAI/単語集/5月/知らない単語集0526.md	SantaAI/単語集/5月/知らない単語集0526.md		時差ぼけの		JET-lägd	fatigued from travel, out of sync, time-shifted
1433	joy and literacy	joy and literacy	1	Literature	Literature/25words.md	Literature/25words.md	Literature/25words_pronunciation/index.html		喜びと識字能力			delight and reading ability, happiness and education, pleasure and learning
1434	just in case	just in case	1	SantaAI	SantaAI/単語集/5月/知らない単語集0515.md	SantaAI/単語集/5月/知らない単語集0515.md	SantaAI/単語集/5月/知らない単語集0515.md		念のため；万が一に備えて	just in case	jŭst ĭn KĀS	as a precaution, to be safe, if needed
1435	just past	just past	1	SantaAI	SantaAI/単語集/5月/知らない単語集0522.md	SantaAI/単語集/5月/知らない単語集0522.md	SantaAI/単語集/5月/知らない単語集0522.md		ちょうど過ぎたところの		jŭst păst	slightly after, just beyond, immediately after
1436	knit	knit	1	Ethnology	Ethnology/EthnoogyandIdentity.md	Ethnology/EthnoogyandIdentity.md	Ethnology/EthnoogyandIdentity.md		結びつける、緊密にする；編む		nĭt	bind, unite, connect
1437	laboratory-designed	laboratory-designed	1	Ecology	Ecology/49words.md	Ecology/49words.md	Ecology/49words_pronunciation/index.html		実験室で設計された		LĂB-rə-tôr-ē dĭ-ZĪND	lab-made, engineered, artificially developed
1438	lack	lack	1	SantaAI	SantaAI/単語集/5月/知らない単語集0524.md	SantaAI/単語集/5月/知らない単語集0524.md	SantaAI/単語集/5月/知らない単語集0524.md		欠如；欠けている		lăk	absence, shortage, deficiency
1439	lack access to	lack access to	1	SantaAI	SantaAI/単語集/5月/知らない単語集0523.md	SantaAI/単語集/5月/知らない単語集0523.md	SantaAI/単語集/5月/知らない単語集0523.md		〜へのアクセスがない		lăk AK-sĕs tə	have no access to, be unable to reach, be cut off from
1440	lack of	lack of	1	Medicine	Medicine/57words.md	Medicine/57words.md	Medicine/57words_pronunciation/index.html		～の欠如		lak əv	absence of, shortage of, deficiency of
1441	laminar flow	laminar flow	1	Physics	Physics/60words.md	Physics/60words.md	Physics/60words_pronunciation/index.html		層流		LAM-ə-nər floh	streamline flow, smooth flow, layered flow
1442	land or change farming strategies	land or change farming strategies	1	SantaAI	SantaAI/単語集/5月/知らない単語集0512.md	SantaAI/単語集/5月/知らない単語集0512.md	SantaAI/単語集/5月/知らない単語集0512.md		土地を手放す、または農業戦略を変える	strategy（strategies の単数形）	länd or chānj FÄR-ming STRÄT-ə-jēz	alter farming methods, revise agricultural plans, adjust cultivation strategy
1443	landmass	landmass	1	EarthScience	EarthScience/47words.md	EarthScience/47words.md	EarthScience/47words_pronunciation/index.html		陸塊		LĂND-măs	large land area, continent, terrestrial mass
1444	language-rich	language-rich	1	Linguistics	Linguistics/20words.md	Linguistics/20words.md	Linguistics/20words_pronunciation/index.html		言語が豊かな；言語刺激の多い			linguistically stimulating, verbally enriched, communication-rich
1445	large-scale	large-scale	1	Sociology	Sociology/32words.md	Sociology/32words.md	Sociology/32words_pronunciation/index.html		大規模な；大掛かりな			extensive, massive, widespread
1446	largely	largely	1	AmericanHistory	AmericanHistory/08words.md	AmericanHistory/08words.md	AmericanHistory/08words_pronunciation/index.html		主として；大部分は		LÄRJ-lē	mainly, mostly, chiefly
1447	last	last	1	Psychology	Psychology/29words.md	Psychology/29words.md	Psychology/29words_pronunciation/index.html		続く；持続する；最後の		lăst	endure, persist, remain
1448	last(続く)	last(続く	1	SantaAI	SantaAI/単語集/5月/知らない単語集0528.md	SantaAI/単語集/5月/知らない単語集0528.md	SantaAI/単語集/5月/知らない単語集0528.md		続く；持続する		läst	continue, endure, persist
1449	last-minute	last-minute	1	SantaAI	SantaAI/単語集/5月/知らない単語集0530.md	SantaAI/単語集/5月/知らない単語集0530.md	SantaAI/単語集/5月/知らない単語集0530.md		直前の；土壇場の		LAST MĬN-ĭt	final-hour, rushed, eleventh-hour
1450	lately	lately	1	SantaAI	SantaAI/単語集/5月/知らない単語集0527.md	SantaAI/単語集/5月/知らない単語集0527.md	SantaAI/単語集/5月/知らない単語集0527.md		最近		LĀT-lē	recently, these days, of late
1451	later this weekend	later this weekend	1	SantaAI	SantaAI/単語集/5月/知らない単語集0517.md	SantaAI/単語集/5月/知らない単語集0517.md	SantaAI/単語集/5月/知らない単語集0517.md		今週末の後半に		LĀ-tər thĭs WĒK-end	toward the end of the weekend, this coming weekend, by the end of the weekend
1452	latest	latest	1	SantaAI	SantaAI/単語集/6月/知らない単語集0609.md	SantaAI/単語集/6月/知らない単語集0609.md	SantaAI/単語集/6月/知らない単語集0609.md		最新の；直近の	late	LĀtĭst	newest, most recent, current
1453	Latitudinal variations	latitudinal variations	1	EarthScience	EarthScience/45words.md	EarthScience/45words.md	EarthScience/45words_pronunciation/index.html		緯度による変動		LĂT-ə-tōō-dĭ-nəl vâr-ē-Ā-shənz	latitude differences, zonal variation, north-south variation
1454	launching	launching	1	SantaAI	SantaAI/単語集/6月/知らない単語集0616.md	SantaAI/単語集/6月/知らない単語集0616.md	SantaAI/単語集/6月/知らない単語集0616.md		開始；立ち上げ	launch（動詞）	lônch	starting, introduction, rollout
1455	layers	layers	1	EarthScience	EarthScience/47words.md	EarthScience/47words.md	EarthScience/47words_pronunciation/index.html		層	layer	LĀ-ərz	strata, levels, sheets
1456	leading to	leading to	1	SantaAI	SantaAI/単語集/5月/知らない単語集0523.md	SantaAI/単語集/5月/知らない単語集0523.md	SantaAI/単語集/5月/知らない単語集0523.md		〜につながって	lead to	LĒ-dĭng tə	resulting in, causing, bringing about
1457	leads to inaccuracies	leads to inaccuracies	1	MediaStudies	MediaStudies/52words.md	MediaStudies/52words.md	MediaStudies/52words_pronunciation/index.html		不正確さにつながる		lēdz tə ĭn-ĂK-yə-rə-sēz	causes errors, results in mistakes, creates inaccuracies
1458	leaky	leaky	1	SantaAI	SantaAI/単語集/5月/知らない単語集0527.md	SantaAI/単語集/5月/知らない単語集0527.md	SantaAI/単語集/5月/知らない単語集0527.md		漏れやすい		LĒ-kē	porous, not airtight, seepage-prone
1459	lean	lean	1	SantaAI	SantaAI/単語集/6月/知らない単語集0616.md	SantaAI/単語集/6月/知らない単語集0616.md	SantaAI/単語集/6月/知らない単語集0616.md		寄りかかる；傾く；引き締まった		lēn	incline, tilt, slim
1460	leaning	leaning	1	SantaAI	SantaAI/単語集/6月/知らない単語集0601.md	SantaAI/単語集/6月/知らない単語集0601.md	SantaAI/単語集/6月/知らない単語集0601.md		傾向；傾いていること	lean	LĒN-ing	tendency, inclination, bias
1461	leap	leap	1	Biology	Biology/41words.md	Biology/41words.md	Biology/41words_pronunciation/index.html		跳躍する		LĒP	jump, spring, bound
1462	leaving financial ruin	leaving financial ruin	1	AmericanHistory	AmericanHistory/10words.md	AmericanHistory/10words.md	AmericanHistory/10words_pronunciation/index.html		金融破産が残った		LĒV-ĭng fə-NÄN-shəl RŪ-ən	
1463	led	led	1	History	History/07words.md	History/07words.md	History/07words_pronunciation/index.html		導いた、引き起こした	lead	lēd	guided, caused, directed
1464	legacy	legacy	1	History	History/07words.md	History/07words.md	History/07words_pronunciation/index.html		遺産、後世への影響		LEG-ə-sē	heritage, inheritance, tradition
1465	legislation	legislation	1	AmericanHistory	AmericanHistory/08words.md	AmericanHistory/08words.md	AmericanHistory/08words_pronunciation/index.html		法律；立法		lej-ə-SLĀ-shən	lawmaking, statute, legal measure
1466	lenghy	lenghy	1	Law	Law/18words.md	Law/18words.md	Law/pronunciation/index.html		長い；冗長な（※ lengthy の綴り違いと考えられる）		LĔNG-thē	long, extended, prolonged
1467	lenses	lenses	1	Optics	Optics/51words.md	Optics/51words.md	Optics/51words_pronunciation/index.html		レンズ	lens	LĔN-zĭz	optics, glass elements, optical lenses
1468	lesbianism	lesbianism	1	Women'sStudy	Women'sStudy/31words.md	Women'sStudy/31words.md	Women'sStudy/31words_pronunciation/index.html		レズビアニズム；女性同性愛		LĔZ-bē-ə-nĭz-əm	female homosexuality, women's same-sex attraction
1469	lesser offenses	lesser offenses	1	Crimiinology	Crimiinology/19words.md	Crimiinology/19words.md	Crimiinology/19words_pronunciation/index.html		軽微な犯罪；軽い罪			minor crimes, petty offenses, misdemeanors
1470	let A B	let a b	1	SantaAI	SantaAI/単語集/5月/知らない単語集0524.md	SantaAI/単語集/5月/知らない単語集0524.md	SantaAI/単語集/5月/知らない単語集0524.md		AにBさせる		let ā bē	allow A to B, have A do B, permit A to B
1471	lets	lets	1	SantaAI	SantaAI/単語集/5月/知らない単語集0513.md	SantaAI/単語集/5月/知らない単語集0513.md	SantaAI/単語集/5月/知らない単語集0513.md		〜させる；〜を可能にする	let	LĔTS	allows, permits, enables
1472	lets us shower	lets us shower	1	Physics	Physics/60words.md	Physics/60words.md	Physics/60words_pronunciation/index.html		私たちがシャワーを使えるようにする		lets us SHOU-ər	enables bathing, allows rinsing, provides showering
1473	lets you	lets you	1	Medicine	Medicine/56words.md	Medicine/56words.md	Medicine/56words_pronunciation/index.html		あなたに～させる		lets yū	allows you, enables you, permits you
1474	levels	levels	1	AmericanHistory	AmericanHistory/10words.md	AmericanHistory/10words.md	AmericanHistory/10words_pronunciation/index.html		水準；程度	level（名詞・単数）	LEV-əl	standards, rates, degrees
1475	leverage	leverage	1	Economics	Economics/12words.md	Economics/12words.md	Economics/12words_pronunciation/index.html		影響力；てこ入れ		LĒ-vər-ij	influence, advantage, clout
1476	liberated	liberated	1	AmericanHistory	AmericanHistory/09words.md	AmericanHistory/09words.md	AmericanHistory/09words_pronunciation/index.html		解放した	liberate	LĬB-ə-rāt	freed, emancipated, released
1477	lichens	lichens	1	Biology	Biology/42words.md	Biology/42words.md	Biology/42words_pronunciation/index.html		地衣類	lichen	LĪ-kənz	symbiotic organisms, fungi-algae associations, composite life forms
1478	lie	lie	1	Geology	Geology/55words.md	Geology/55words.md	Geology/55words_pronunciation/index.html		位置する；横たわる		LĪ	sit, be located, rest
1479	lie in	lie in	1	SantaAI	SantaAI/単語集/5月/知らない単語集0527.md	SantaAI/単語集/5月/知らない単語集0527.md	SantaAI/単語集/5月/知らない単語集0527.md		〜にある；〜に存する		lī ĭn	reside in, be found in, consist in
1480	lies	lies	1	Biology	Biology/43words.md	Biology/43words.md	Biology/43words_pronunciation/index.html		位置する；存在する	lie	LĪZ	is situated, is located, rests
1481	lies in	lies in	1	SantaAI	SantaAI/単語集/5月/知らない単語集0523.md	SantaAI/単語集/5月/知らない単語集0523.md	SantaAI/単語集/5月/知らない単語集0523.md		〜にある、〜に起因する	lie in	līz ĭn	exists in, resides in, is found in
1482	life forms	life forms	1	Biology	Biology/37words.md	Biology/37words.md	Biology/37words_pronunciation/index.html		生命形態；生物種	life form	LĪF fôrmz	organisms, living beings, creatures
1483	lift off	lift off	1	Physics	Physics/60words.md	Physics/60words.md	Physics/60words_pronunciation/index.html		離陸する；浮き上がる		lift AWF	take off, rise, launch
1484	light	light	1	ArtHistory	ArtHistory/05/05words.md	ArtHistory/05/05words.md	ArtHistory/05/05words_pronunciation/index.html		光；明るさ；明るい；軽い		LĪT	illumination, brightness, radiance
1485	light detection	light detection	1	SantaAI	SantaAI/単語集/5月/知らない単語集0526.md	SantaAI/単語集/5月/知らない単語集0526.md	SantaAI/単語集/5月/知らない単語集0526.md		光の検知；光の感知		līt dĭ-TEK-shən	sensing light, light perception, photodetection
1486	light exposure	light exposure	1	SantaAI	SantaAI/単語集/5月/知らない単語集0526.md	SantaAI/単語集/5月/知らない単語集0526.md	SantaAI/単語集/5月/知らない単語集0526.md		光への曝露；光を浴びること		līt ĭk-SPŌ-zhər	exposure to light, illumination contact, light intake
1487	like-minded activists	like-minded activists	1	Women'sStudy	Women'sStudy/31words.md	Women'sStudy/31words.md	Women'sStudy/31words_pronunciation/index.html		志を同じくする活動家たち		ĂK-tĭ-vĭsts	fellow advocates, similarly committed campaigners, allied activists
1488	likelihood	likelihood	1	SantaAI	SantaAI/単語集/5月/知らない単語集0516.md	SantaAI/単語集/5月/知らない単語集0516.md	SantaAI/単語集/5月/知らない単語集0516.md		可能性；見込み		LĪK-lē-hŏŏd	probability, chance, prospect
1489	Likewise	likewise	1	ComputerScience	ComputerScience/44words.md	ComputerScience/44words.md	ComputerScience/44words_pronunciation/index.html		同様に；同じく		LĪK-wīz	similarly, likewise, in the same way
1490	limestone	limestone	1	ArtHistory	ArtHistory/05/05words.md	ArtHistory/05/05words.md	ArtHistory/05/05words_pronunciation/index.html		石灰岩		LĪM-stōn	calcite, chalk, sedimentary rock
1491	link to	link to	1	SantaAI	SantaAI/単語集/5月/知らない単語集0513.md	SantaAI/単語集/5月/知らない単語集0513.md	SantaAI/単語集/5月/知らない単語集0513.md		〜につながる；〜に結びつける	link to	LĬNGK tə	connect to, relate to, tie to
1492	liquids	liquids	1	Physics	Physics/60words.md	Physics/60words.md	Physics/60words_pronunciation/index.html		液体（複数）	liquid	LIK-wid	fluids, solutions, liquids phase
1493	literacy	literacy	1	Art	Art/23words.md	Art/23words.md	Art/23words_pronunciation/index.html		識字能力；読み書きの能力		LĬT-ər-ə-sē	reading ability, education, learning
1494	literal	literal	1	SantaAI	SantaAI/単語集/5月/知らない単語集0528.md	SantaAI/単語集/5月/知らない単語集0528.md	SantaAI/単語集/5月/知らない単語集0528.md		文字どおりの		LĬT-ə-rəl	exact, word-for-word, explicit
1495	live up	live up	1	Law	Law/18words.md	Law/18words.md	Law/pronunciation/index.html		（期待・基準に）応える		lĭv ŬP	fulfill, meet, satisfy
1496	lndustrial activities	lndustrial activities	1	Environmentology	Environmentology/13words.md	Environmentology/13words.md	Environmentology/13words_pronunciation/index.html		産業活動	industrial activity	ĭn-DƏS-trē-əl ăk-TĬV-ə-tēz	manufacturing activities, industrial operations, factory production
1497	lobbied for the end of job discrimination	lobbied for the end of job discrimination	1	Women'sStudy	Women'sStudy/31words.md	Women'sStudy/31words.md	Women'sStudy/31words_pronunciation/index.html		就職差別の廃止のためにロビー活動を行った		LŎB-ēd	advocated for ending workplace discrimination, campaigned against employment bias
1498	local geological conditions	local geological conditions	1	Geology	Geology/55words.md	Geology/55words.md	Geology/55words_pronunciation/index.html		局地的な地質条件		LŌ-kəl jē-ə-LÄJ-ik kən-DISH-ənz	regional geologic settings, site geology, local tectonic conditions
1499	long series of experiments	long series of experiments	1	Physics	Physics/59words.md	Physics/59words.md	Physics/59words_pronunciation/index.html		長い一連の実験		lông SIR-ēz əv ik-SPER-ə-mənts	extended experiments, prolonged trials, lengthy test series
1500	long-term	long-term	1	AmericanHistory	AmericanHistory/10words.md	AmericanHistory/10words.md	AmericanHistory/10words_pronunciation/index.html		長期的な		LÔNG-tûrm	lasting, prolonged, enduring
1501	look back upon	look back upon	1	Art	Art/23words.md	Art/23words.md	Art/23words_pronunciation/index.html		〜を振り返る；回顧する			reflect on, recall, reminisce about
1502	looks up a directory and makes a call	looks up a directory and makes a call	1	Psychology	Psychology/29words.md	Psychology/29words.md	Psychology/29words_pronunciation/index.html		電話帳で調べて電話をかける			finds a number and calls, searches and dials, locates and contacts
1503	loosely	loosely	1	Linguistics	Linguistics/20words.md	Linguistics/20words.md	Linguistics/20words_pronunciation/index.html		おおまかに；ゆるく；大まかに		LŪS-lē	approximately, roughly, vaguely
1504	lost and found	lost and found	1	SantaAI	SantaAI/単語集/5月/知らない単語集0523.md	SantaAI/単語集/5月/知らない単語集0523.md	SantaAI/単語集/5月/知らない単語集0523.md		遺失物取扱所		lôst ənd found	property office, lost property, found items desk
1505	lot	lot	1	SantaAI	SantaAI/単語集/5月/知らない単語集0515.md	SantaAI/単語集/5月/知らない単語集0515.md	SantaAI/単語集/5月/知らない単語集0515.md		多く；区画；くじ		LŎT	many, a great deal, plenty
1506	loyalty	loyalty	1	History	History/07words.md	History/07words.md	History/07words_pronunciation/index.html		忠誠、忠実さ		LOI-əl-tē	faithfulness, allegiance, devotion
1507	luminous	luminous	1	ArtHistory	ArtHistory/05/05words.md	ArtHistory/05/05words.md	ArtHistory/05/05words_pronunciation/index.html		発光する；輝く；明るい		LŪ-mĭ-nəs	radiant, glowing, brilliant
1508	lung function	lung function	1	Medicine	Medicine/56words.md	Medicine/56words.md	Medicine/56words_pronunciation/index.html		肺機能		LUNG FUNGK-shən	pulmonary function, respiratory capacity, breathing function
1509	lvigorously	lvigorously	1	AmericanHistory	AmericanHistory/09words.md	AmericanHistory/09words.md	AmericanHistory/09words_pronunciation/index.html		精力的に；力強く		VĬG-ər-əs-lē	energetically, forcefully, actively
1510	lying	lying	1	Geology	Geology/55words.md	Geology/55words.md	Geology/55words_pronunciation/index.html		横たわる；位置する	lie	LĪ-ing	resting, situated, positioned
1511	made it feasible to ship goods	made it feasible to ship goods	1	Sociology	Sociology/32words.md	Sociology/32words.md	Sociology/32words_pronunciation/index.html		物品を輸送することを実現可能にした		FĒ-zə-bəl	made it possible to transport goods, enabled the shipment of products
1512	made learning to read engaging and fun	made learning to read engaging and fun	1	Literature	Literature/25words.md	Literature/25words.md	Literature/25words_pronunciation/index.html		読むことを学ぶことを魅力的で楽しいものにした			made reading enjoyable, transformed reading into fun, made literacy engaging
1513	made mainly of	made mainly of	1	SantaAI	SantaAI/単語集/5月/知らない単語集0527.md	SantaAI/単語集/5月/知らない単語集0527.md	SantaAI/単語集/5月/知らない単語集0527.md		主に〜でできている		mād MĀN-lē əv	composed mostly of, primarily made of, consists largely of
1514	magical enhancement of human power	magical enhancement of human power	1	Sociology	Sociology/32words.md	Sociology/32words.md	Sociology/32words_pronunciation/index.html		人間の力の魔法のような増大			miraculous amplification of human capability, extraordinary boost to human ability
1515	magnification	magnification	1	Optics	Optics/51words.md	Optics/51words.md	Optics/51words_pronunciation/index.html		倍率；拡大率		măg-nə-fĭ-KĀ-shən	enlargement, zoom level, amplification
1516	magnify specimens over 50,000 times	magnify specimens over 50,000 times	1	Optics	Optics/51words.md	Optics/51words.md	Optics/51words_pronunciation/index.html		試料を5万倍以上に拡大する		MĂG-nə-fī SPĔS-ə-mənz ō-vər fĭf-tē-thou-zənd tīmz	enlarge beyond 50,000x, magnify over fifty thousandfold, achieve 50,000x magnification
1517	mail carrier	mail carrier	1	SantaAI	SantaAI/単語集/6月/知らない単語集0611.md	SantaAI/単語集/6月/知らない単語集0611.md	SantaAI/単語集/6月/知らない単語集0611.md		郵便配達員		māl KERēər	postman, postal worker, letter carrier
1518	maintaining	maintaining	1	SantaAI	SantaAI/単語集/5月/知らない単語集0523.md	SantaAI/単語集/5月/知らない単語集0523.md	SantaAI/単語集/5月/知らない単語集0523.md		維持すること	maintain	mān-TĀN-ĭng	sustaining, preserving, keeping
1519	maintaining agricultural productivity	maintaining agricultural productivity	1	SantaAI	SantaAI/単語集/5月/知らない単語集0512.md	SantaAI/単語集/5月/知らない単語集0512.md	SantaAI/単語集/5月/知らない単語集0512.md		農業生産性を維持すること	maintain（動詞）	mān-TĀN-ing äg-ri-KŬL-chə-rəl proh-duk-TĬV-ə-tē	sustaining farm output, preserving agricultural efficiency, keeping crop productivity
